"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\my-cv\src\App.css", "CSS", 0, 24, 0, 4, 28
"c:\my-cv\src\App.js", "JavaScript", 21, 0, 0, 2, 23
"c:\my-cv\src\components\About\About.jsx", "JavaScript", 22, 0, 1, 1, 24
"c:\my-cv\src\components\About\About.styled.js", "JavaScript", 41, 0, 2, 2, 45
"c:\my-cv\src\components\Contact\Contact.jsx", "JavaScript", 87, 0, 0, 5, 92
"c:\my-cv\src\components\Contact\Contact.styled.js", "JavaScript", 100, 0, 6, 4, 110
"c:\my-cv\src\components\Courses\Courses.jsx", "JavaScript", 44, 0, 0, 2, 46
"c:\my-cv\src\components\Courses\Courses.styled.js", "JavaScript", 29, 0, 0, 4, 33
"c:\my-cv\src\components\Hello\Hello.jsx", "JavaScript", 16, 0, 0, 2, 18
"c:\my-cv\src\components\Hello\Hello.styled.js", "JavaScript", 31, 0, 0, 3, 34
"c:\my-cv\src\components\Navigation\Navigation.jsx", "JavaScript", 62, 0, 0, 4, 66
"c:\my-cv\src\components\Navigation\Navigation.styled.js", "JavaScript", 118, 0, 2, 9, 129
"c:\my-cv\src\components\Projects\Projects,styled.js", "JavaScript", 26, 0, 0, 4, 30
"c:\my-cv\src\components\Projects\Projects.jsx", "JavaScript", 40, 0, 0, 1, 41
"c:\my-cv\src\components\Tech\Tech.jsx", "JavaScript", 64, 0, 1, 3, 68
"c:\my-cv\src\components\Tech\Tech.styled.js", "JavaScript", 51, 0, 0, 3, 54
"c:\my-cv\src\helpers\variables.js", "JavaScript", 34, 0, 3, 3, 40
"c:\my-cv\src\index.js", "JavaScript", 9, 0, 0, 2, 11
"c:\my-cv\src\layout.styled.js", "JavaScript", 2, 0, 0, 1, 3
"Total", "-", 797, 24, 15, 59, 895